company_index,description,business_tags,sector,category,niche,selected_labels,primary_label,confidence,source,method,timestamp,api_calls,reasoning,validation_type
10,"Halle Heat Exchange Equipment Co., Ltd is a Chinese company that specializes in the production and sales of heat exchangers. Their main products include plate-type heat exchanger, welded panel type heat exchang, ground heating water distributors, stainless steel water divider, and overheated hot water coolers. The company has an in-depth knowledge team with high-quality technical expertise and is equipped with many varieties of excellent equipment for producing heat exchiders. Halle Heat Exchanger Equipment Co, Ltd is committed to achieving innovative products and technologies for efficient heat transfer and reducing natural resource consumption. They provide a knowledge-intensive approach to further optimize heating or cooling treatments for various process equipment. The Halley plate heat exchider has a very high thermal transfer efficiency compared to traditional welded-plated heat exchanders and is compact in structure. The heat exchuder is mainly used in the development of the fastener industry.","['Technology Products and Solutions', 'Welded Heat Exchangers Manufacturer', 'Ground Water Heating Engineering Services Supplier', 'Stainless Steel Water Distributors', 'Heat Treatment for Export']",Manufacturing,Industrial Air Solutions,Power Boiler and Heat Exchanger Manufacturing,"['Manufacturing Services', 'Heat Exchanger Services', 'Welding Services', 'Heat Treatment Services']",Manufacturing Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:50:46.460444,2,"The company's core activity is manufacturing heat exchangers (plate-type, welded panel) as stated in their description. They get paid for producing and selling these industrial products. While welding and heat treatment are processes they use, they're part of manufacturing. 'Heat Exchanger Services' aligns with their specialty but 'Manufacturing Services' best captures their primary business model of producing equipment.",positive
11,"Ballymacarbry Elders Housing Association Ltd. is a registered charity in Ireland that aims to provide quality, age-friendly, and sustainable homes for older people in the local community who require them. Their goal is to enable these individuals to live independently for as long as possible. The association offers 1 & 2 bedroom terrace houses in three blocks, consisting of single storey, semi-detached, back and front gardens, each with an entrance hall, kitchen/living room, 2 bedrooms, and walk-in shower. The houses are well-insulated and have a BER rating of A3. The community center adjacent to the houses includes a library, a social club with entertainment, a caretaker and health center, and a daily bus service to Clonmel and Dungarvan. The development is located in the village of Ballymacarrow, surrounded by private grounds and close to the Nire River.","['Sustainable Homes', 'Residential Terraces', 'Clubhouse and Dinner Club Services', 'Single-storey Homes', 'Entrance Hall', 'Daily Bus Services', 'Caretaker and Health Centre Services', 'Semi-Detached House', 'Age-friendly Homes', 'Kitchen & Living Room', 'Community Center', 'Class Teaching Services', 'Non-profit Organization', 'Front Garden Houses', 'Walk-in Shower Houses', 'Social Club Services', '3 Residential Blocks', 'Housing Association', 'Lunch Service', 'High-quality Homes', 'A3 Rating Houses', 'Gym Facilities', 'Music and Entertainment Services', '55+ Housing Development', 'Independent Living Support', 'Lovely Walks Services', 'Bingo Services', 'Insulated Homes', 'Card Game Services', 'Library Services']",Services,Housing Programs,Other Community Housing Services,"['Housing Association', 'Independent Living Support', 'Age-friendly Homes']",Housing Association,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T15:52:36.951134,2,"The company's core mission is providing residential housing for older adults, explicitly stated in its description as 'provide quality, age-friendly, and sustainable homes'. While it offers supplementary services (clubhouse, bus, meals), these support the primary housing function. As a registered charity and housing association, its revenue model likely centers on property management/rental income for housing provision. Industry context ('Housing Programs') further confirms this focus.",positive
12,"An Nhien Scientific Equipment Co., Ltd. (AnNhien) is a company that specializes in the distribution of scientific equipment, reagents, probiotics, and consumables for various industries such as life science research, chemistry, biomedicine, clinical diagnostic, veterinary, food hygiene, environmental monitoring, and quality control. They offer a range of products including sterilization products, biological and chemical indicators, sterilization packing, labwares and consumable products, plasticwares, cell culture, micro and molecular biology, handling and storage, specimen collection, microbiology and storage solutions, reagent and probiotic products, microbial identification, enzymes and prepared enzymes, and culture media. The company is committed to providing high-quality products and technology to its customers and contributing to the development of science, technology, and economy in Vietnam.","['Sterilization Products', 'Biological Indicators', 'Consumables Distribution', 'Chemical Indicators', 'Scientific Equipment Distribution', 'Reagents Distribution']",Manufacturing,Laboratory Equipment & Supplies,Analytical Laboratory Instrument Manufacturing,['Laboratory Services'],Laboratory Services,MEDIUM,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:32:23.644253,2,"An Nhien distributes scientific equipment and consumables but doesn't conduct lab testing or manufacturing. 'Laboratory Services' is the closest match as it encompasses supply of lab materials. Other labels imply production or active service provision, which aren't core activities.",positive
13,"Anovei is a company that specializes in air treatment, purifier leasing, and nasal filtration research and development, as well as production.","['Innovative Solutions Provider', 'Technology Solutions', 'High-tech Solutions', 'Technology Consulting Services', 'Low Tech Firm', 'Air Treatment', 'Production', 'Technology Services', 'Nasal Filtration Research and Development', 'Purifier Leasing Services']",Manufacturing,Medical Supply Manufacturers,Irradiation Apparatus Manufacturing,"['Medical Supply Manufacturers', 'Research and Development', 'Technology Services', 'Production']",Medical Supply Manufacturers,MEDIUM,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:36:08.454417,2,"Anovei's main business activity is the production and development of nasal filtration devices, which are medical supplies for respiratory health, as indicated by their R&D and production focus. They also generate revenue through purifier leasing, covered under technology services. The industry context (Medical Supply Manufacturers) supports this, but confidence is medium due to potential mismatch with the irradiation niche and incomplete coverage of leasing in labels.",positive
14,"Db Motor Service di Damiano Barbato is an auto electrical service and auto repair shop located in Arzano, Campania, Italy.","['Diagnostic Services', 'Correct Diagnosis and Maintenance', 'Automobiles And Motorcycles', 'Parking Facilities', 'Bathroom Facilities', 'Auto Repair Service', 'Automotive Repair and Maintenance Services', 'Seating Options', 'Motorcycle Diagnosis and Repair Services', 'Mechanical and Electronic Workshop', 'Auto Electrical Services', 'Wheelchair Accessible Entrance']",Services,Auto Services,Specialized Automotive Repair,"['Auto Electrical Services', 'Automotive Repair and Maintenance Services', 'Diagnostic Services', 'Mechanical and Electronic Workshop']",Auto Electrical Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:37:00.202802,2,"The company's description explicitly identifies 'auto electrical service' as its core offering, supported by business tags emphasizing electronic diagnostics and repair. While broader automotive repair is included, the specialization in electrical systems is highlighted as a key differentiator.",positive
15,DOO Bački Petrovac is a Slovakian company that specializes in the production of raw materials and the wholesale of cleaning products. Their main focus is on producing raw powders and selling cleaning items.,"['Production', 'Wholesale Distribution', 'Cleaning Articles Manufacturer', 'Metal Circle Manufacturer']",Manufacturing,Cleaning Equipment & Supplies,Soap and Other Detergent Manufacturing,"['Cleaning Articles Manufacturer', 'Soap Production Services', 'Chemical Manufacturing', 'Manufacturing', 'Production', 'Wholesale Distribution', 'Metal Circle Manufacturer']",Cleaning Articles Manufacturer,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:40:21.775479,2,"The company's core business is manufacturing cleaning products, specifically raw powders, as explicitly stated in their description and reinforced by their industry niche (Soap and Other Detergent Manufacturing). Secondary labels reflect production processes (Chemical Manufacturing, Manufacturing, Production), distribution (Wholesale Distribution), and a secondary activity from business tags (Metal Circle Manufacturer). Soap Production Services aligns with their detergent focus. Other labels wer",positive
16,"Reparación Lavarropas Candy is a technical service and repair company that specializes in the repair and maintenance of washing machines. They offer same-day service in the Capital Federal, GBA Zona Norte, GGA Zona Oeste, and GBA Súbrica Zona Sur areas. Their main focus is on repairing and maintaining Candy washing machines, providing technical support to their customers.","['Home Care', 'Technical Service and Maintenance', 'Candy Washing Machine Repair Services']",Services,Appliance Repair & Maintenance,Appliance Repair and Maintenance,"['Repair Services', 'Maintenance Services']",Repair Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:42:10.608420,2,"The company specializes exclusively in repairing and maintaining Candy washing machines, as directly stated in its name (Reparación Lavarropas Candy), description, and business tags. While maintenance is a component, repair is the core revenue-generating service emphasized across all descriptors. Other labels like plumbing or electrical are too broad or unrelated to appliance-specific work.",positive
17,"Ver Peliculas is a company that specializes in video conferencing solutions. They offer a range of products and services related to video conferecting, including AVer, Jean Paul, and Ver Pelicula.","['Metaverse Auctions Platform', 'Auction Services', 'Auction Via Video Conferencing']",Services,"Alarms, Surveillance & Security Systems",All Other Business Support Services,"['Commercial Communication Equipment Installation', 'Technology Consulting', 'Software Development Services', 'Website Development Services']",Commercial Communication Equipment Installation,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:43:07.028306,2,"The company's core business revolves around video conferencing solutions (explicitly mentioned in description) and auction platforms via video conferencing (business tags). They primarily get paid for providing and installing communication technology infrastructure. While auction services imply digital platforms, the core value proposition is enabling communication technology.",positive
18,"Gina Crow is an Italian-American film director, writer, and producer based in Los Angeles, California. She has a background in music production and international DJing, and has worked on music videos, commercials, and narrative projects. Crow has collaborated with Fuse Technical Group, ARRI, Inc., and FotoKem to produce an action thriller short film called ""Dark in Berlin,"" which was shot on an LED volume stage using virtual production and stars Christine Ko and Miki Ishikawa. She is currently working on her debut feature film, which is expected to be released in spring 2024.","['Virtual Production Services', 'LED Volume Stage Film', 'Dark Thriller Short Film', 'Biopic Production', 'Music Video Production']",Services,Video and Audio Production,Motion Picture and Video Distribution,"['Media Production Services', 'Video and Audio Production', 'Motion Picture and Video Distribution']",Media Production Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:43:58.851971,2,"The company's core business revolves around creating film/video content (dark thrillers, biopics, music videos) using specialized techniques like LED volume stages. While distribution is part of their niche, revenue is primarily generated from production services rather than marketing, consulting, or digital services.",positive
19,"360Scooters is a company that offers electric scooter rental services in Tenerife, Canary Islands. They provide electric scooters for rent, allowing tourists to explore the cities of the island in a sustainable way. Customers can rent a scooter for a daily, weekly, or three-day period and pick it up in South Tenerije, Arona, Los Cristianos, Playa de Las Américas, and Adeje. The company is a leader in electric personal mobility and offers workshops, technical services, and online and physical sales of personal mobility vehicles.","['Electricity', 'Rental Services', 'Electric Scooter Rental Services', 'Online Sales', 'Personal Mobility Vehicles Sales', 'Sustainable Mobility Solutions', 'Technical Service Workshop']",Services,Car Rental,Home Health Equipment Rental,"['Electric Scooter Rental Services', 'Rental Services', 'Sustainable Mobility Solutions']",Electric Scooter Rental Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:46:50.452627,2,"The company's core business is renting electric scooters to tourists, explicitly stated in the description and reinforced by business tags. While they may sell scooters and offer maintenance, rental is the primary revenue driver. 'Sustainable Mobility Solutions' aligns with their electric focus, but rental remains the central activity. Industry context labels like 'Car Rental' are too broad, and 'Home Health Equipment Rental' is irrelevant.",positive
20,"Vision Express Opticians - Llanelli is an establishment located in Llanelli, Wales, United Kingdom. It operates as an optician, contact lenses supplier, eye care center, optometrist, and sunglasses store.","['In-store Shopping', 'Eye Care Services', 'Contact Lenses Retailer', 'Optician Services', 'Retail', 'Bathroom Facilities', 'In-store Pickup', 'Wheelchair Accessible Entrance']",Services,Optometrists,Offices of Optometrists,"['Optician Services', 'Eye Care Services', 'Contact Lenses Retailer', 'Healthcare Services', 'Medical Services', 'Retail']",Optician Services,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:47:54.918501,2,"Vision Express operates as an optometrist and eye care center, with core revenue from professional vision services (eye exams, prescriptions) and retail sales of corrective products (glasses, contacts). While retail is significant, it's secondary to their healthcare-driven optometry services which define their primary business model.",positive
21,"Solar Gold Dried Fruit is a company that specializes in producing dried fruits, including Mango, pineapple, and banana. They dry the Kent and Ataulfo varieties for their smooth texture and distinctive flavor, and preserve the digestive enzymes by ensuring the fruit never exceeds 35 degrees Celsius during the drying process. Their tropical mix is perfect for travel, lunch-boxes, and camping, and can be used as a replacement for raisins in cooking, salads, baking, and breakfast cereals. The company's products are high in potassium and magnesium, which help maintain stamina for endurance sports like cycling, hiking, and cross-country skiing.","['Dressed Fruits', 'Dried Pineapples', 'Food Retail', 'Food Production', 'Drying Process', 'Tropical Dried Fruits', 'Dried Mangoes']",Manufacturing,Fruit & Vegetable - Markets & Stores,Dried and Dehydrated Food Manufacturing,"['Dried and Dehydrated Food Manufacturing', 'Food Production', 'Food Processing Services']",Dried and Dehydrated Food Manufacturing,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:48:45.421976,2,"The company's core business is manufacturing dried fruits through a specialized drying process. This directly aligns with 'Dried and Dehydrated Food Manufacturing' as their primary activity. 'Food Production' and 'Food Processing Services' are relevant secondary labels, as drying is a fundamental food processing technique and their end product is food.",positive
22,"Coma Rico is a restaurant located in Cali, Valle del Cauca, Colombia. It offers various dining options including dine-in, takeout, and delivery services. The establishment is described as casual and cozy, and it is suitable for groups and families with children.","['Cozy Atmosphere', 'Takeout Services', 'Lunch Service', 'Restaurant', 'Bathroom Facilities', 'Dine-in Service', 'Casual Atmosphere']",Services,Restaurants,Full-Service Restaurants,"['Restaurant', 'Takeout Services', 'Dine-in Service']",Restaurant,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:49:38.171489,2,"Coma Rico is explicitly described as a restaurant in the Services sector, operating as a Full-Service Restaurant. Its primary revenue comes from food service via dine-in, takeout, and delivery. Tags like 'Lunch Service' and 'Casual Atmosphere' reinforce this core activity. Other labels (e.g., Catering, Food Safety, Legal Services) describe peripheral or support functions but are not the business's main value proposition.",positive
23,"Gemini Beauty is a company that offers a variety of makeup, skincare, and hair products. Their makeup line includes items such as lip oil, liquid lipstick matte, liquid concealer, facial contour, compact illuminator, powder finisher armor, transparent powder, banana powder, eyeliner pen, eyelash mascara, false eyelashes, face masks, false eyebrow glue, and false eyelash 5D mink. They also offer hair products such as hair brush powder, hair brush drop, hairbrush racket, and Venus Eyeshadow Palette.","['Kits 2 Powder Sponges', 'Facial Cleansing Sponges', 'Compact Illumination', 'Lip Oil', 'Band Of Brothers', 'Hair Powder', 'Face Contour Products', 'Venus Eyeshadow Palette', 'Liquid Concealer', 'Face Masks', 'Mermaid Brushes Kit', 'Eyelash Mascara Extends and Define', 'Ruby Angel', 'Coconut Chamomile Micellar Water', 'Liquid Base', '5D Mink Luxury False Eyelashes', 'Translucent Powder', 'Mermaid Eyeliner Pen', 'My Beauty Tool', 'Black Power Eye Pencil', 'Banana Powder', 'Asu Makeup', 'Powder Finisher Armor', 'Beauty Products Retailer', 'Summer Satin Hat']",Retail,Cosmetics Stores,"Cosmetics, Beauty Supplies, and Perfume Retailers","['Beauty Products Retailer', 'Cosmetics, Beauty Supplies, and Perfume Retailers', 'Retail', 'Cosmetics Stores']","Cosmetics, Beauty Supplies, and Perfume Retailers",HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:51:41.567716,2,"Gemini Beauty's core business is retailing cosmetic and beauty products directly to consumers. The company description explicitly states they 'offer a variety of makeup, skincare, and hair products,' and 'Beauty Products Retailer' is a listed business tag. Their industry context (Retail > Cosmetics Stores > Cosmetics, Beauty Supplies, and Perfume Retailers) directly matches their operations. Revenue is generated through product sales, not manufacturing or services. Manufacturing labels were reje",positive
24,"SellerGroup is a company that specializes in promotional and office products. They offer unique office solutions and customized furniture designs for office spaces, including desks, chairs, and conference tables. They also provide ergonomic solutions for a better work environment with their ErgoDesk and CleanDesk products. SellerOffice develops and sells unique solutions for office workspaces, while ActiveOffice offers special products for creating an active working environment. Additionally, they provide information and advice on office design.","['Office Furniture Design and Manufacturing', 'Workplace Solutions', 'Hygiene Products', 'Promotional Products with Logos', 'Desk Cleaning', 'Branding Services', 'Branding Enhancement', 'Conference Tables']",Manufacturing,Office Furniture,Wood Office Furniture Manufacturing,"['Wood Office Furniture Manufacturing', 'Office Furniture Design and Manufacturing', 'Furniture Manufacturing']",Furniture Manufacturing,HIGH,deepseek_original_112,hierarchical_deepseek,2025-06-11T16:54:39.107327,2,"The company's core business revolves around manufacturing custom office furniture, specifically highlighted by their niche in wood office furniture manufacturing. Industry context, business tags, and product focus (desks, chairs, conference tables) confirm this as the primary revenue source. Secondary labels reflect the broader manufacturing scope and design integration. Other services like promotional products or desk cleaning are ancillary and not the primary business activity.",positive
