true_label,true_domain,sector,category,sim_pred,sim_confidence,sim_correct,sim_top3_correct,sim_top5_correct,hier_pred,hier_confidence,hier_domain,hier_domain_conf,hier_correct,hier_top3_correct,hier_top5_correct,hier_domain_correct
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.9828702807426453,True,True,True,Furniture Manufacturing,0.9533841723203659,Manufacturing & Production,0.97,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Furniture Stores,Furniture Manufacturing,0.48573780059814453,True,True,True,Furniture Manufacturing,0.24286890029907227,Manufacturing & Production,0.5,True,True,True,True
Furniture Manufacturing,Manufacturing & Production,Manufacturing,Office Furniture,Furniture Manufacturing,0.5155650973320007,True,True,True,Furniture Manufacturing,0.31965032339096067,Manufacturing & Production,0.62,True,True,True,True
Livestock Dealer Services,Professional Services,Manufacturing,Livestock & Animal Raising,Livestock Dealer Services,0.9756267666816711,True,True,True,Livestock Dealer Services,0.71220753967762,Professional Services,0.73,True,True,True,True
Livestock Dealer Services,Professional Services,Manufacturing,Livestock & Animal Raising,Livestock Dealer Services,0.9718100428581238,True,True,True,Livestock Dealer Services,0.8843471390008927,Professional Services,0.91,True,True,True,True
Livestock Dealer Services,Professional Services,Wholesale,Livestock & Animal Raising,Livestock Dealer Services,0.6862468123435974,True,True,True,Livestock Dealer Services,0.5273066858670096,Professional Services,0.7683922492345786,True,True,True,True
Livestock Dealer Services,Professional Services,Wholesale,Livestock & Animal Raising,Livestock Dealer Services,0.9885461330413818,True,True,True,Livestock Dealer Services,0.819228575793105,Professional Services,0.8287206316539312,True,True,True,True
Livestock Dealer Services,Professional Services,Wholesale,Livestock & Animal Raising,Livestock Dealer Services,0.9905315637588501,True,True,True,Livestock Dealer Services,0.9325312654208566,Professional Services,0.941445280029346,True,True,True,True
Livestock Dealer Services,Professional Services,Manufacturing,Livestock & Animal Raising,Livestock Dealer Services,0.9833449125289917,True,True,True,Livestock Dealer Services,0.7292057902353019,Professional Services,0.741556478245168,True,True,True,True
Livestock Dealer Services,Professional Services,Manufacturing,Livestock & Animal Raising,Livestock Dealer Services,0.9756267666816711,True,True,True,Livestock Dealer Services,0.71220753967762,Professional Services,0.73,True,True,True,True
Carpentry Services,Professional Services,Services,Roofing Contractors,Mobile Home Construction Services,0.4738605320453644,False,False,False,Commercial Construction Services,0.14370804727077482,Construction & Real Estate,0.3,False,False,False,False
Marketing Services,Retail & Commerce,Services,Real Estate Rental,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Frozen Food Processing,Manufacturing & Production,Manufacturing,Fruit & Vegetable - Markets & Stores,Frozen Food Processing,0.9922336339950562,True,True,True,Frozen Food Processing,0.9326996159553528,Manufacturing & Production,0.94,True,True,True,True
Frozen Food Processing,Manufacturing & Production,Wholesale,Fruit & Vegetable - Markets & Stores,Frozen Food Processing,0.8890089988708496,True,True,True,Frozen Food Processing,0.8801189088821411,Manufacturing & Production,0.99,True,True,True,True
Frozen Food Processing,Manufacturing & Production,Manufacturing,Ice Cream,Frozen Food Processing,0.38900870084762573,True,True,True,Food Processing Services,0.1986165278354345,Manufacturing & Production,0.49568996080872707,False,True,True,True
Frozen Food Processing,Manufacturing & Production,Manufacturing,Fruit & Vegetable - Markets & Stores,Frozen Food Processing,0.9587265849113464,True,True,True,Frozen Food Processing,0.9491393190622329,Manufacturing & Production,0.99,True,True,True,True
Alarm Installation Services,Professional Services,Services,"Alarms, Surveillance & Security Systems",Fire Protection System Services,0.5148882865905762,False,True,True,Alarm Installation Services,0.2523738179528787,Professional Services,0.43506348367052877,True,True,True,True
Commercial Construction Services,Construction & Real Estate,Manufacturing,Paper & Cardboard Products,Commercial Construction Services,0.9609888792037964,True,True,True,Commercial Construction Services,0.8264503848552703,Construction & Real Estate,0.86,True,True,True,True
Property Management Services,Construction & Real Estate,Non Profit,Real Estate Associations,Property Management Services,0.9719595313072205,True,True,True,Property Management Services,0.7029903842394231,Construction & Real Estate,0.7232712047009044,True,True,True,True
Property Management Services,Construction & Real Estate,Services,Homelessness Shelter,Fundraising Services,0.43888697028160095,False,False,False,Fundraising Services,0.3076607402191804,Professional Services,0.7010022193681837,False,False,False,False
Property Management Services,Construction & Real Estate,Non Profit,Real Estate Associations,Property Management Services,0.9719595313072205,True,True,True,Property Management Services,0.7029903842394231,Construction & Real Estate,0.7232712047009044,True,True,True,True
Financial Services,Financial Services,Services,Loans & Financing,Financial Services,0.9773467779159546,True,True,True,Financial Services,0.8991590356826783,Financial Services,0.92,True,True,True,True
Financial Services,Financial Services,Services,Cryptocurrency,Financial Services,0.9502813816070557,True,True,True,Financial Services,0.8646249193956647,Financial Services,0.909861943944927,True,True,True,True
Financial Services,Financial Services,Services,Money Transfer,E-Commerce Services,0.3606800138950348,False,True,True,Advertising Services,0.1285406172080912,Professional Services,0.4315044422788316,False,False,False,False
Financial Services,Financial Services,Services,Credit Reporting Services,Financial Services,0.9811578989028931,True,True,True,Financial Services,0.8035411237256801,Financial Services,0.8189723320158103,True,True,True,True
Financial Services,Financial Services,Services,Retirement Planning,Financial Services,0.9592040181159973,True,True,True,Financial Services,0.8440995359420777,Financial Services,0.88,True,True,True,True
Financial Services,Financial Services,Services,"Insurance - Agents, Carriers & Brokers",Financial Services,0.9907773733139038,True,True,True,Financial Services,0.9511461639404296,Financial Services,0.96,True,True,True,True
Financial Services,Financial Services,Services,Mortgage Brokers,Financial Services,0.5971269607543945,True,True,True,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True
Financial Services,Financial Services,Services,Accounting & Bookkeeping Services,Human Resources Services,0.977396547794342,False,False,False,Human Resources Services,0.7714903548483512,Professional Services,0.789331886319482,False,False,False,False
Financial Services,Financial Services,Services,Credit Reporting Services,Financial Services,0.9811578989028931,True,True,True,Financial Services,0.8035411237256801,Financial Services,0.8189723320158103,True,True,True,True
Financial Services,Financial Services,Services,Credit Reporting Services,Financial Services,0.9576343894004822,True,True,True,Financial Services,0.9038244570436932,Financial Services,0.9438095238095238,True,True,True,True
Financial Services,Financial Services,Services,Investment Consultants & Financial Advisors,Financial Services,0.7002350687980652,True,True,True,Content Creation Services,0.9419139558076858,Professional Services,0.97,False,False,False,False
Financial Services,Financial Services,Services,"Insurance - Agents, Carriers & Brokers",Financial Services,0.9907773733139038,True,True,True,Financial Services,0.9511461639404296,Financial Services,0.96,True,True,True,True
Financial Services,Financial Services,Services,Credit Unions & Savings Institutions,Financial Services,0.9661585092544556,True,True,True,Financial Services,0.9160499147680924,Financial Services,0.9481362007168458,True,True,True,True
Financial Services,Financial Services,Services,Credit Unions & Savings Institutions,Financial Services,0.9630711078643799,True,True,True,Financial Services,0.8866149422902849,Financial Services,0.9206121282740614,True,True,True,True
Financial Services,Financial Services,Services,Mortgage Brokers,Financial Services,0.5971269607543945,True,True,True,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True
Financial Services,Financial Services,Services,Mortgage Brokers,Financial Services,0.5971269607543945,True,True,True,Financial Services,0.23797529740441115,Financial Services,0.3985338345864662,True,True,True,True
Financial Services,Financial Services,Services,Cryptocurrency,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Financial Services,Financial Services,Services,Investment Firms & Venture Capital,Financial Services,0.9664700031280518,True,True,True,Financial Services,0.8612166154109668,Financial Services,0.8910951388562434,True,True,True,True
Single Family Residential Construction,Construction & Real Estate,Manufacturing,Wood Building Material Stores,Furniture Manufacturing,0.48653843998908997,False,False,False,Wood Product Manufacturing,0.24201239635182584,Manufacturing & Production,0.4727648660410936,False,False,False,False
Recycling Services,Professional Services,Manufacturing,"Minerals, Earths & Ores",Sand and Gravel Mining,0.536262035369873,False,False,True,Asphalt Production Services,0.17367429971694945,Manufacturing & Production,0.36,False,False,False,False
Pharmaceutical Manufacturing,Manufacturing & Production,Manufacturing,Pharmaceutical Products,Chemical Manufacturing,0.4855059087276459,False,True,True,Chemical Manufacturing,0.3981147962808609,Manufacturing & Production,0.82,False,True,True,True
Confectionery Manufacturing,Manufacturing & Production,Manufacturing,Bakeries & Desserts,Sand and Gravel Mining,0.41613495349884033,False,True,True,Confectionery Manufacturing,0.2165246081255708,Manufacturing & Production,0.4130634278002699,True,True,True,True
Industrial Machinery Installation,Manufacturing & Production,Manufacturing,Heavy Construction Equipment,Chemical Manufacturing,0.48464906215667725,False,True,True,Industrial Machinery Installation,0.2999868547916412,Manufacturing & Production,0.59,True,True,True,True
Industrial Machinery Installation,Manufacturing & Production,Manufacturing,Industrial Machinery & Supplies,Insurance Services,0.3949510157108307,False,True,True,Commercial Communication Equipment Installation,0.11301922412306976,Manufacturing & Production,0.3184893922022129,False,True,True,True
Industrial Machinery Installation,Manufacturing & Production,Manufacturing,Industrial Machinery & Supplies,Industrial Machinery Installation,0.9777105450630188,True,True,True,Industrial Machinery Installation,0.938602123260498,Manufacturing & Production,0.96,True,True,True,True
Industrial Machinery Installation,Manufacturing & Production,Manufacturing,Industrial Machinery & Supplies,Industrial Machinery Installation,0.48031044006347656,True,True,True,Industrial Machinery Installation,0.2030454728067234,Manufacturing & Production,0.4227379958259692,True,True,True,True
Industrial Machinery Installation,Manufacturing & Production,Manufacturing,Industrial Machinery & Supplies,Industrial Machinery Installation,0.9829054474830627,True,True,True,Industrial Machinery Installation,0.9435892295837403,Manufacturing & Production,0.96,True,True,True,True
Community Engagement Services,Professional Services,Government,"Executive, Legislative & Government Institutions",Community Engagement Services,0.9957905411720276,True,True,True,Non-Profit Management,0.8786204419234058,Professional Services,0.8823346458789701,False,True,True,True
Community Engagement Services,Professional Services,Non Profit,Domestic Violence NGOs,Legal Services,0.30612844228744507,False,False,False,Non-Profit Management,0.1468051574628817,Professional Services,0.3924067908174825,False,False,False,True
Community Engagement Services,Professional Services,Government,"Executive, Legislative & Government Institutions",Community Engagement Services,0.9847044944763184,True,True,True,Community Engagement Services,0.8197562852317333,Professional Services,0.8324896350429403,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9377171993255615,True,True,True,Chemical Manufacturing,0.8064367401599883,Manufacturing & Production,0.86,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.5198413133621216,True,True,True,Pharmaceutical Manufacturing,0.34654880404472355,Manufacturing & Production,0.66,False,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Plastic Manufacturing,0.4976907968521118,False,True,True,Plastic Manufacturing,0.378245005607605,Manufacturing & Production,0.76,False,False,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.45674294233322144,True,True,True,Chemical Manufacturing,0.3616914221258946,Manufacturing & Production,0.7918927444794953,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9900742173194885,True,True,True,Chemical Manufacturing,0.8811660534143448,Manufacturing & Production,0.89,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9554603099822998,True,True,True,Chemical Manufacturing,0.9286050853302257,Manufacturing & Production,0.9718928935388519,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9774850606918335,True,True,True,Chemical Manufacturing,0.8753115179322363,Manufacturing & Production,0.8954730390587433,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Food Processing Services,0.4940628409385681,False,True,True,Chemical Manufacturing,0.7520541191101074,Manufacturing & Production,0.79,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.5034178495407104,True,True,True,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.5034178495407104,True,True,True,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9884394407272339,True,True,True,Chemical Manufacturing,0.8500579190254212,Manufacturing & Production,0.86,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Plastics Products,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.9377171993255615,True,True,True,Chemical Manufacturing,0.8064367401599883,Manufacturing & Production,0.86,True,True,True,True
Chemical Manufacturing,Manufacturing & Production,Manufacturing,Chemicals,Chemical Manufacturing,0.5034178495407104,True,True,True,Chemical Manufacturing,0.37252920866012573,Manufacturing & Production,0.74,True,True,True,True
Publishing Services,Professional Services,Services,Newspapers & Magazines,Insurance Services,0.2602372169494629,False,False,False,Advertising Services,0.18623481004338807,Professional Services,0.5304843508585312,False,False,False,True
Publishing Services,Professional Services,Manufacturing,Livestock & Animal Raising,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Publishing Services,Professional Services,Manufacturing,Livestock & Animal Raising,Publishing Services,0.9661286473274231,True,True,True,Publishing Services,0.8802347359032201,Professional Services,0.9110947474109073,True,True,True,True
Fire Protection System Services,Software & Technology,Services,"Alarms, Surveillance & Security Systems",Fire Protection System Services,0.9644795060157776,True,True,True,Fire Protection System Services,0.8487419652938842,Software & Technology,0.88,True,True,True,True
Wood Product Manufacturing,Manufacturing & Production,Manufacturing,Musical Instruments & Music Stores,Wood Product Manufacturing,0.315912663936615,True,True,True,Industrial Machinery Installation,0.19496134078841107,Manufacturing & Production,0.5718927444794953,False,True,True,True
Wood Product Manufacturing,Manufacturing & Production,Wholesale,Renewable energy companies,Chemical Manufacturing,0.4544221758842468,False,True,True,Wood Product Manufacturing,0.2955276895511744,Manufacturing & Production,0.578512674093904,True,True,True,True
Wood Product Manufacturing,Manufacturing & Production,Manufacturing,Wood Building Material Stores,Furniture Manufacturing,0.5229114294052124,False,True,True,Industrial Machinery Installation,0.28455668687820435,Manufacturing & Production,0.5,False,False,True,True
Wood Product Manufacturing,Manufacturing & Production,Manufacturing,Building Material Manufacturers,Furniture Manufacturing,0.4338293671607971,False,True,True,Wood Product Manufacturing,0.3923410153388977,Manufacturing & Production,0.62,True,True,True,True
Wood Product Manufacturing,Manufacturing & Production,Manufacturing,Wood Building Material Stores,Chemical Manufacturing,0.4419902265071869,False,False,False,Wood Product Manufacturing,0.3225700244307518,Manufacturing & Production,0.69,True,True,True,True
Event Planning Services,Professional Services,Manufacturing,Oil & Gas - Extraction & Distribution,Testing and Inspection Services,0.34553465247154236,False,True,True,Well Drilling Services,0.17278367310976597,Professional Services,0.4041574774953244,False,False,True,True
Event Planning Services,Professional Services,Services,Party Rentals,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
E-Commerce Services,Retail & Commerce,Manufacturing,Industrial Air Solutions,HVAC Installation and Service,0.43790560960769653,False,False,False,Chemical Manufacturing,0.22762828852216635,Manufacturing & Production,0.5126242931722971,False,False,False,False
E-Commerce Services,Retail & Commerce,Retail,Book Stores,E-Commerce Services,0.4915187358856201,True,True,True,Data Analysis Services,0.16014724772204858,Professional Services,0.3969776269014287,False,False,False,False
E-Commerce Services,Retail & Commerce,Wholesale,Paper & Cardboard Products,E-Commerce Services,0.9135181903839111,True,True,True,E-Commerce Services,0.813031189441681,Retail & Commerce,0.89,True,True,True,True
E-Commerce Services,Retail & Commerce,Manufacturing,Farms & Agriculture Production,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
E-Commerce Services,Retail & Commerce,Retail,Electronics Stores,E-Commerce Services,0.9836829900741577,True,True,True,E-Commerce Services,0.7082517528533935,Retail & Commerce,0.72,True,True,True,True
E-Commerce Services,Retail & Commerce,Retail,Groceries,Food Processing Services,0.4192752242088318,False,True,True,E-Commerce Services,0.5831486511230469,Retail & Commerce,0.64,True,True,True,True
Non-Profit Management,Professional Services,Non Profit,Social Services & NGOs,Textile Manufacturing Services,0.3163032531738281,False,False,False,Human Resources Services,0.11334113207185002,Professional Services,0.3975226608676926,False,True,True,True
Non-Profit Management,Professional Services,Non Profit,Social Services & NGOs,Training Services,0.2869775891304016,False,True,True,Non-Profit Management,0.862417824405932,Professional Services,0.8818042867215135,True,True,True,True
Human Resources Services,Professional Services,Services,Employment Agencies & HR Consulting,Insurance Services,0.4596337080001831,False,True,True,Content Creation Services,0.2500212429086666,Professional Services,0.5186215538847118,False,True,True,True
Water Treatment Services,Professional Services,Government,"Executive, Legislative & Government Institutions",Training Services,0.4396126866340637,False,True,True,Waste Management Services,0.8751998182910851,Professional Services,0.9066581320649258,False,True,True,True
Technology Consulting,Software & Technology,Government,"Executive, Legislative & Government Institutions",Compliance Services,0.3975697159767151,False,False,False,Commercial Electrical Services,0.2361957940849605,Professional Services,0.5715671000667966,False,False,False,False
Technology Consulting,Software & Technology,Manufacturing,Electronical Components Manufacturing,Software Development Services,0.5299843549728394,False,False,False,Testing and Inspection Services,0.11530584277028755,Professional Services,0.27115828997009533,False,False,False,False
Training Services,Education & Training,Government,Police & Sheriffs,Training Services,0.9619566202163696,True,True,True,Training Services,0.6156522369384766,Education & Training,0.64,True,True,True,True
Training Services,Education & Training,Education,Dance Schools,Training Services,0.988719642162323,True,True,True,Training Services,0.632780532836914,Education & Training,0.64,True,True,True,True
Training Services,Education & Training,Manufacturing,Auto Parts Manufacturers,Training Services,0.9899495244026184,True,True,True,Training Services,0.9206531131267548,Education & Training,0.93,True,True,True,True
Training Services,Education & Training,Education,Computer Training Schools,Training Services,0.9855114817619324,True,True,True,Training Services,0.9066705632209778,Education & Training,0.92,True,True,True,True
Training Services,Education & Training,Education,Beauty Schools,Training Services,0.9658702611923218,True,True,True,Training Services,0.8692832350730896,Education & Training,0.9,True,True,True,True
Training Services,Education & Training,Non Profit,Social Services & NGOs,Fundraising Services,0.3807627260684967,False,True,True,Training Services,0.9045899713039398,Education & Training,0.91,True,True,True,True
Training Services,Education & Training,Education,Colleges & Universities,Training Services,0.9706907272338867,True,True,True,Training Services,0.8736217617988586,Education & Training,0.9,True,True,True,True
Training Services,Education & Training,Services,Occupational Therapy,Training Services,0.9737212061882019,True,True,True,Training Services,0.6718676733970641,Education & Training,0.69,True,True,True,True
Training Services,Education & Training,Education,Computer Training Schools,Training Services,0.9883846044540405,True,True,True,Training Services,0.9587330663204193,Education & Training,0.97,True,True,True,True
Training Services,Education & Training,Government,Police & Sheriffs,Training Services,0.9619566202163696,True,True,True,Training Services,0.6156522369384766,Education & Training,0.64,True,True,True,True
Training Services,Education & Training,Education,Religious Schools,Training Services,0.44659221172332764,True,True,True,Training Services,0.18310280680656432,Education & Training,0.41,True,True,True,True
Training Services,Education & Training,Education,Flight Training,Training Services,0.9732292294502258,True,True,True,Training Services,0.944032352566719,Education & Training,0.97,True,True,True,True
Training Services,Education & Training,Services,Other Engineering Services,Training Services,0.6025057435035706,True,True,True,Training Services,0.37957861840724944,Education & Training,0.63,True,True,True,True
Training Services,Education & Training,Education,"Learning, Tutoring & Courses",Training Services,0.446510910987854,True,True,True,Training Services,0.14734860062599184,Education & Training,0.33,True,True,True,True
Training Services,Education & Training,Services,Retirement Planning,Financial Services,0.9592040181159973,False,False,False,Financial Services,0.8440995359420777,Financial Services,0.88,False,False,False,False
Legal Services,Professional Services,Government,Courthouses,Training Services,0.4808614253997803,False,True,True,Waste Management Services,0.21193250293756263,Professional Services,0.6291895101508073,False,False,True,True
Legal Services,Professional Services,Services,Notaries,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Legal Services,Professional Services,Non Profit,Social Services & NGOs,Legal Services,0.9731027483940125,True,True,True,Legal Services,0.9058779349152212,Professional Services,0.9309170448960938,True,True,True,True
Legal Services,Professional Services,Government,Courthouses,Training Services,0.3693425953388214,False,False,False,Public Relations Services,0.19284303804322495,Professional Services,0.6165283342653064,False,False,False,True
Consulting Services,Professional Services,Education,Educational Consultants,Training Services,0.5231245756149292,False,True,True,Consulting Services,0.9071837800741196,Professional Services,0.93,True,True,True,True
Consulting Services,Professional Services,Education,Educational Consultants,Training Services,0.5231245756149292,False,True,True,Consulting Services,0.9071837800741196,Professional Services,0.93,True,True,True,True
Consulting Services,Professional Services,Services,Trucking and Logistics,E-Commerce Services,0.3639245629310608,False,True,True,Consulting Services,0.7558247755965862,Professional Services,0.8215754811100857,True,True,True,True
Consulting Services,Professional Services,Education,Colleges & Universities,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Consulting Services,Professional Services,Manufacturing,Paper & Cardboard Products,Content Creation Services,0.3208441138267517,False,False,False,Financial Services,0.20749017596244812,Financial Services,0.65,False,False,False,False
Software Development Services,Software & Technology,Government,Courthouses,Software Development Services,0.9872629642486572,True,True,True,Software Development Services,0.9477725028991699,Software & Technology,0.96,True,True,True,True
Software Development Services,Software & Technology,Services,Medical Research,Pharmaceutical Manufacturing,0.33489441871643066,False,False,False,Testing and Inspection Services,0.15694835493379514,Professional Services,0.45043733730354035,False,False,False,False
Software Development Services,Software & Technology,Government,"Executive, Legislative & Government Institutions",Environmental Consulting,0.42658114433288574,False,False,False,Environmental Consulting,0.22271585630843493,Professional Services,0.5220949384828809,False,False,False,False
Software Development Services,Software & Technology,Services,Art & Music Publishers,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Software Development Services,Software & Technology,Manufacturing,Electronical Components Manufacturing,Furniture Manufacturing,0.37017330527305603,False,True,True,Software Development Services,0.6726385593414306,Software & Technology,0.7,True,True,True,True
Software Development Services,Software & Technology,Manufacturing,Electronical Components Manufacturing,Furniture Manufacturing,0.37017330527305603,False,True,True,Software Development Services,0.6726385593414306,Software & Technology,0.7,True,True,True,True
Volunteer Services,Professional Services,Government,Fire Departments & Fire Protection,Training Services,0.3213270902633667,False,True,True,Volunteer Services,0.8608793520927429,Professional Services,0.87,True,True,True,True
Agricultural Equipment Services,Manufacturing & Production,Manufacturing,Farms & Agriculture Production,Livestock Dealer Services,0.5347989201545715,False,False,False,Veterinary Services,0.8380489826202392,Healthcare & Medical,0.85,False,False,False,False
Agricultural Equipment Services,Manufacturing & Production,Manufacturing,Farms & Agriculture Production,Livestock Dealer Services,0.5347989201545715,False,False,False,Veterinary Services,0.8380489826202392,Healthcare & Medical,0.85,False,False,False,False
Agricultural Equipment Services,Manufacturing & Production,Manufacturing,Farms & Agriculture Production,Plastic Manufacturing,0.4501277804374695,False,False,True,Environmental Consulting,0.7666602230072022,Professional Services,0.81,False,False,False,False
Dock and Pier Construction,Construction & Real Estate,Services,Civil Engineering Services,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,False
Soap Production Services,Manufacturing & Production,Manufacturing,Religious Goods,Textile Manufacturing Services,0.7725017666816711,False,False,False,Industrial Machinery Installation,0.20719418561826272,Manufacturing & Production,0.2682119039307868,False,False,False,True
Food Processing Services,Manufacturing & Production,Manufacturing,Fruit & Vegetable - Markets & Stores,Food Processing Services,0.9823801517486572,True,True,True,Food Processing Services,0.8350232303142547,Manufacturing & Production,0.85,True,True,True,True
Food Processing Services,Manufacturing & Production,Wholesale,Fruit & Vegetable - Markets & Stores,Food Processing Services,0.9623562097549438,True,True,True,Food Processing Services,0.8372499024868011,Manufacturing & Production,0.87,True,True,True,True
